meme,date,month,week,representation
IMG-20200424-WA1559.jpg,24/04/2020,abril,17,selfless
IMG-20200424-WA1628.jpg,24/04/2020,abril,17,hero_leader
IMG-20200424-WA1630.jpg,24/04/2020,abril,17,hero_leader
IMG-20200424-WA1892.jpg,24/04/2020,abril,17,hero_leader
IMG-20200424-WA2018.jpg,24/04/2020,abril,17,hero_leader
IMG-20200425-WA0063.jpg,25/04/2020,abril,17,martyr
IMG-20200425-WA0484.jpg,25/04/2020,abril,17,martyr
IMG-20200425-WA0553.jpg,25/04/2020,abril,17,martyr
IMG-20200425-WA0752.jpg,25/04/2020,abril,17,martyr
IMG-20200425-WA0783.jpg,25/04/2020,abril,17,martyr
IMG-20200426-WA0014.jpg,26/04/2020,abril,17,martyr
IMG-20200426-WA0021.jpg,26/04/2020,abril,17,hero_leader
IMG-20200426-WA0022.jpg,26/04/2020,abril,17,hero_leader
IMG-20200426-WA0040.jpg,26/04/2020,abril,17,savior
IMG-20200426-WA0376.jpg,26/04/2020,abril,17,hero_leader
IMG-20200426-WA0521.jpg,26/04/2020,abril,17,martyr
IMG-20200426-WA0872.jpg,26/04/2020,abril,17,savior
IMG-20200426-WA1060.jpg,26/04/2020,abril,17,savior
IMG-20200426-WA1076.jpg,26/04/2020,abril,17,martyr
IMG-20200427-WA0196.jpg,27/04/2020,abril,18,victim
IMG-20200427-WA0265.jpg,27/04/2020,abril,18,selfless
IMG-20200427-WA1719.jpg,27/04/2020,abril,18,selfless
IMG-20200427-WA2153.jpg,27/04/2020,abril,18,victim
IMG-20200428-WA0395.jpg,28/04/2020,abril,18,picaresque_character
IMG-20200429-WA0721.jpg,29/04/2020,abril,18,martyr
IMG-20200430-WA0193.jpg,30/04/2020,abril,18,martyr
IMG-20200430-WA0608.jpg,30/04/2020,abril,18,victim
IMG-20200503-WA0113.jpg,03/05/2020,maio,18,martyr
IMG-20200503-WA0115.jpg,03/05/2020,maio,18,victim
IMG-20200503-WA0135.jpg,03/05/2020,maio,18,savior
IMG-20200505-WA0072.jpg,05/05/2020,maio,19,hero_leader
IMG-20200505-WA0126.jpg,05/05/2020,maio,19,selfless
IMG-20200506-WA0205.jpg,06/05/2020,maio,19,victim
IMG-20200506-WA0390.jpg,06/05/2020,maio,19,selfless
IMG-20200508-WA0289.jpg,08/05/2020,maio,19,victim
IMG-20200508-WA0354.jpg,08/05/2020,maio,19,victim
IMG-20200508-WA0568.jpg,08/05/2020,maio,19,ordinary_person
IMG-20200509-WA0046.jpg,09/05/2020,maio,19,warrior_punisher
IMG-20200509-WA0364.jpg,09/05/2020,maio,19,hero_leader
IMG-20200512-WA0593.jpg,12/05/2020,maio,20,selfless
IMG-20200512-WA0633.jpg,12/05/2020,maio,20,father_of_the_poor
IMG-20200512-WA0634.jpg,12/05/2020,maio,20,father_of_the_poor
IMG-20200512-WA0889.jpg,12/05/2020,maio,20,picaresque_character
IMG-20200513-WA0120.jpg,13/05/2020,maio,20,victim
IMG-20200514-WA0045.jpg,14/05/2020,maio,20,martyr
IMG-20200514-WA0086.jpg,14/05/2020,maio,20,martyr
IMG-20200514-WA0207.jpg,14/05/2020,maio,20,father_of_the_poor
IMG-20200515-WA0109.jpg,15/05/2020,maio,20,selfless
IMG-20200517-WA0125.jpg,17/05/2020,maio,20,martyr
IMG-20200518-WA0263.jpg,18/05/2020,maio,21,picaresque_character
IMG-20200518-WA0301.jpg,18/05/2020,maio,21,father_of_the_poor
IMG-20200518-WA0307.jpg,18/05/2020,maio,21,father_of_the_poor
IMG-20200519-WA0025.jpg,19/05/2020,maio,21,father_of_the_poor
IMG-20200520-WA0006.jpg,20/05/2020,maio,21,picaresque_character
IMG-20200520-WA0266.jpg,20/05/2020,maio,21,victim
IMG-20200520-WA0275.jpg,20/05/2020,maio,21,savior
IMG-20200521-WA0045.jpg,21/05/2020,maio,21,savior
IMG-20200521-WA0228.jpg,21/05/2020,maio,21,father_of_the_poor
IMG-20200522-WA0003.jpg,22/05/2020,maio,21,picaresque_character
IMG-20200522-WA0120.jpg,22/05/2020,maio,21,savior
IMG-20200522-WA0228.jpg,22/05/2020,maio,21,victim
IMG-20200522-WA0322.jpg,22/05/2020,maio,21,warrior_punisher
IMG-20200522-WA0386.jpg,22/05/2020,maio,21,warrior_punisher
IMG-20200522-WA0404.jpg,22/05/2020,maio,21,hero_leader
IMG-20200522-WA0411.jpg,22/05/2020,maio,21,warrior_punisher
IMG-20200522-WA0423.jpg,22/05/2020,maio,21,victim
IMG-20200522-WA0428.jpg,22/05/2020,maio,21,warrior_punisher
IMG-20200523-WA0017.jpg,23/05/2020,maio,21,warrior_punisher
IMG-20200523-WA0020.jpg,23/05/2020,maio,21,warrior_punisher
IMG-20200523-WA0147.jpg,23/05/2020,maio,21,selfless
IMG-20200523-WA0165.jpg,23/05/2020,maio,21,ordinary_person
IMG-20200523-WA0216.jpg,23/05/2020,maio,21,hero_leader
IMG-20200523-WA0268.jpg,23/05/2020,maio,21,ordinary_person
IMG-20200523-WA0269.jpg,23/05/2020,maio,21,picaresque_character
IMG-20200524-WA0066.jpg,24/05/2020,maio,21,picaresque_character
IMG-20200524-WA0090.jpg,24/05/2020,maio,21,savior
IMG-20200524-WA0290.jpg,24/05/2020,maio,21,savior
IMG-20200524-WA0440.jpg,24/05/2020,maio,21,warrior_punisher
IMG-20200525-WA0239.jpg,24/05/2020,maio,21,warrior_punisher
IMG-20200528-WA0069.jpg,28/05/2020,maio,22,victim
IMG-20200528-WA0188.jpg,28/05/2020,maio,22,victim
IMG-20200528-WA0218.jpg,28/05/2020,maio,22,martyr
IMG-20200531-WA0335.jpg,31/05/2020,maio,22,hero_leader
IMG-20200609-WA0110.jpg,09/06/2020,junho,24,martyr
IMG-20200609-WA0112.jpg,09/06/2020,junho,24,father_of_the_poor
IMG-20200612-WA0001.jpg,12/06/2020,junho,24,warrior_punisher
IMG-20200618-WA0075.jpg,18/06/2020,junho,25,warrior_punisher
